class_index,filepaths,labels,data_set
15,train/RED CRACKER/016.jpg,RED CRACKER,train
15,train/RED CRACKER/002.jpg,RED CRACKER,train
15,train/RED CRACKER/003.jpg,RED CRACKER,train
15,train/RED CRACKER/017.jpg,RED CRACKER,train
15,train/RED CRACKER/029.jpg,RED CRACKER,train
15,train/RED CRACKER/001.jpg,RED CRACKER,train
15,train/RED CRACKER/015.jpg,RED CRACKER,train
15,train/RED CRACKER/014.jpg,RED CRACKER,train
15,train/RED CRACKER/028.jpg,RED CRACKER,train
15,train/RED CRACKER/010.jpg,RED CRACKER,train
15,train/RED CRACKER/038.jpg,RED CRACKER,train
15,train/RED CRACKER/039.jpg,RED CRACKER,train
15,train/RED CRACKER/011.jpg,RED CRACKER,train
15,train/RED CRACKER/005.jpg,RED CRACKER,train
15,train/RED CRACKER/013.jpg,RED CRACKER,train
15,train/RED CRACKER/007.jpg,RED CRACKER,train
15,train/RED CRACKER/006.jpg,RED CRACKER,train
15,train/RED CRACKER/012.jpg,RED CRACKER,train
15,train/RED CRACKER/129.jpg,RED CRACKER,train
15,train/RED CRACKER/101.jpg,RED CRACKER,train
15,train/RED CRACKER/049.jpg,RED CRACKER,train
15,train/RED CRACKER/075.jpg,RED CRACKER,train
15,train/RED CRACKER/060.jpg,RED CRACKER,train
15,train/RED CRACKER/074.jpg,RED CRACKER,train
15,train/RED CRACKER/048.jpg,RED CRACKER,train
15,train/RED CRACKER/114.jpg,RED CRACKER,train
15,train/RED CRACKER/100.jpg,RED CRACKER,train
15,train/RED CRACKER/128.jpg,RED CRACKER,train
15,train/RED CRACKER/116.jpg,RED CRACKER,train
15,train/RED CRACKER/102.jpg,RED CRACKER,train
15,train/RED CRACKER/089.jpg,RED CRACKER,train
15,train/RED CRACKER/062.jpg,RED CRACKER,train
15,train/RED CRACKER/076.jpg,RED CRACKER,train
15,train/RED CRACKER/077.jpg,RED CRACKER,train
15,train/RED CRACKER/088.jpg,RED CRACKER,train
15,train/RED CRACKER/103.jpg,RED CRACKER,train
15,train/RED CRACKER/117.jpg,RED CRACKER,train
15,train/RED CRACKER/113.jpg,RED CRACKER,train
15,train/RED CRACKER/107.jpg,RED CRACKER,train
15,train/RED CRACKER/098.jpg,RED CRACKER,train
15,train/RED CRACKER/067.jpg,RED CRACKER,train
15,train/RED CRACKER/072.jpg,RED CRACKER,train
15,train/RED CRACKER/099.jpg,RED CRACKER,train
15,train/RED CRACKER/106.jpg,RED CRACKER,train
15,train/RED CRACKER/112.jpg,RED CRACKER,train
15,train/RED CRACKER/104.jpg,RED CRACKER,train
15,train/RED CRACKER/070.jpg,RED CRACKER,train
15,train/RED CRACKER/064.jpg,RED CRACKER,train
15,train/RED CRACKER/059.jpg,RED CRACKER,train
15,train/RED CRACKER/065.jpg,RED CRACKER,train
15,train/RED CRACKER/071.jpg,RED CRACKER,train
15,train/RED CRACKER/111.jpg,RED CRACKER,train
15,train/RED CRACKER/105.jpg,RED CRACKER,train
15,train/RED CRACKER/108.jpg,RED CRACKER,train
15,train/RED CRACKER/120.jpg,RED CRACKER,train
15,train/RED CRACKER/134.jpg,RED CRACKER,train
15,train/RED CRACKER/097.jpg,RED CRACKER,train
15,train/RED CRACKER/083.jpg,RED CRACKER,train
15,train/RED CRACKER/068.jpg,RED CRACKER,train
15,train/RED CRACKER/040.jpg,RED CRACKER,train
15,train/RED CRACKER/041.jpg,RED CRACKER,train
15,train/RED CRACKER/055.jpg,RED CRACKER,train
15,train/RED CRACKER/069.jpg,RED CRACKER,train
15,train/RED CRACKER/082.jpg,RED CRACKER,train
15,train/RED CRACKER/096.jpg,RED CRACKER,train
15,train/RED CRACKER/109.jpg,RED CRACKER,train
15,train/RED CRACKER/137.jpg,RED CRACKER,train
15,train/RED CRACKER/123.jpg,RED CRACKER,train
15,train/RED CRACKER/080.jpg,RED CRACKER,train
15,train/RED CRACKER/094.jpg,RED CRACKER,train
15,train/RED CRACKER/043.jpg,RED CRACKER,train
15,train/RED CRACKER/056.jpg,RED CRACKER,train
15,train/RED CRACKER/042.jpg,RED CRACKER,train
15,train/RED CRACKER/095.jpg,RED CRACKER,train
15,train/RED CRACKER/081.jpg,RED CRACKER,train
15,train/RED CRACKER/122.jpg,RED CRACKER,train
15,train/RED CRACKER/136.jpg,RED CRACKER,train
15,train/RED CRACKER/126.jpg,RED CRACKER,train
15,train/RED CRACKER/085.jpg,RED CRACKER,train
15,train/RED CRACKER/052.jpg,RED CRACKER,train
15,train/RED CRACKER/053.jpg,RED CRACKER,train
15,train/RED CRACKER/047.jpg,RED CRACKER,train
15,train/RED CRACKER/090.jpg,RED CRACKER,train
15,train/RED CRACKER/084.jpg,RED CRACKER,train
15,train/RED CRACKER/127.jpg,RED CRACKER,train
15,train/RED CRACKER/125.jpg,RED CRACKER,train
15,train/RED CRACKER/119.jpg,RED CRACKER,train
15,train/RED CRACKER/092.jpg,RED CRACKER,train
15,train/RED CRACKER/086.jpg,RED CRACKER,train
15,train/RED CRACKER/051.jpg,RED CRACKER,train
15,train/RED CRACKER/045.jpg,RED CRACKER,train
15,train/RED CRACKER/079.jpg,RED CRACKER,train
15,train/RED CRACKER/078.jpg,RED CRACKER,train
