epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.0625,3.48175048828125,,
0,19,0.03125,3.3299560546875,,
0,24,,,0.046008117496967316,3.5043699741363525
1,29,0.03125,3.58935546875,,
1,39,0.03125,3.5181884765625,,
1,49,0.0,3.6791293621063232,,
1,49,,,0.046008117496967316,3.3468542098999023
2,59,0.0625,3.3629150390625,,
2,69,0.03125,3.4437255859375,,
2,74,,,0.09066306054592133,3.2664642333984375
3,79,0.03125,3.2994384765625,,
3,89,0.03125,3.275665283203125,,
3,99,0.0,3.4575893878936768,,
3,99,,,0.09066306054592133,3.2449533939361572
4,109,0.0,3.24603271484375,,
4,119,0.09375,3.31646728515625,,
4,124,,,0.08525034040212631,3.2464466094970703
5,129,0.09375,3.41278076171875,,
5,139,0.0625,3.2884521484375,,
5,149,0.1428571492433548,3.1830356121063232,,
5,149,,,0.0784844383597374,3.249492645263672
6,159,0.03125,3.177734375,,
6,169,0.03125,3.34393310546875,,
6,174,,,0.09066306054592133,3.240046739578247
7,179,0.03125,3.27410888671875,,
7,189,0.0,3.51837158203125,,
7,199,0.1428571492433548,3.288783550262451,,
7,199,,,0.11637347936630249,3.2565102577209473
8,209,0.03125,3.333984375,,
8,219,0.0,3.369140625,,
8,224,,,0.09472259879112244,3.2323241233825684
9,229,0.0625,3.271484375,,
9,239,0.125,3.13037109375,,
9,249,0.0,3.34375,,
9,249,,,0.09878213703632355,3.228098154067993
10,259,0.125,3.22772216796875,,
10,269,0.03125,3.28863525390625,,
10,274,,,0.09607578068971634,3.2387266159057617
11,279,0.125,3.30657958984375,,
11,289,0.03125,3.2493896484375,,
11,299,0.0,3.312221050262451,,
11,299,,,0.0771312564611435,3.2324602603912354
12,309,0.0625,3.214111328125,,
12,319,0.09375,3.157196044921875,,
12,324,,,0.11772666126489639,3.237536668777466
13,329,0.0625,3.27685546875,,
13,339,0.09375,3.33233642578125,,
13,349,0.1428571492433548,3.3311941623687744,,
13,349,,,0.09742895513772964,3.2324647903442383
14,359,0.03125,3.193359375,,
14,369,0.15625,3.29144287109375,,
14,374,,,0.09607578068971634,3.240307092666626
15,379,0.0625,3.2645263671875,,
15,389,0.0625,3.1756591796875,,
15,399,0.0,3.2977120876312256,,
15,399,,,0.08389715850353241,3.229501485824585
16,409,0.0625,3.22027587890625,,
16,419,0.09375,3.169158935546875,,
16,424,,,0.08930987864732742,3.210052013397217
17,429,0.03125,3.24627685546875,,
17,439,0.09375,3.19500732421875,,
17,449,0.1428571492433548,3.4165737628936768,,
17,449,,,0.12449255585670471,3.1959784030914307
18,459,0.15625,3.17486572265625,,
18,469,0.0625,3.3641357421875,,
18,474,,,0.10825439542531967,3.1948764324188232
19,479,0.09375,3.26641845703125,,
19,489,0.03125,3.10394287109375,,
19,499,0.0,3.3443081378936768,,
19,499,,,0.11502029746770859,3.1983563899993896
20,509,0.09375,3.15069580078125,,
20,519,0.03125,3.370849609375,,
20,524,,,0.11231394112110138,3.200486660003662
21,529,0.09375,3.15460205078125,,
21,539,0.0625,3.30474853515625,,
21,549,0.1428571492433548,3.0834262371063232,,
21,549,,,0.1190798357129097,3.199276924133301
22,559,0.09375,3.2218017578125,,
22,569,0.0,3.39996337890625,,
22,574,,,0.11096075922250748,3.218804121017456
23,579,0.125,3.18072509765625,,
23,589,0.125,3.22283935546875,,
23,599,0.1428571492433548,3.351841449737549,,
23,599,,,0.12719891965389252,3.2065317630767822
24,609,0.03125,3.22027587890625,,
24,619,0.09375,3.14678955078125,,
24,624,,,0.1204330176115036,3.2121901512145996
25,629,0.03125,3.28607177734375,,
25,639,0.03125,3.289306640625,,
25,649,0.1428571492433548,3.0792410373687744,,
25,649,,,0.12584573030471802,3.206660032272339
26,659,0.09375,3.1461181640625,,
26,669,0.09375,3.04583740234375,,
26,674,,,0.1204330176115036,3.216479778289795
27,679,0.0625,3.302276611328125,,
27,689,0.125,3.28900146484375,,
27,699,0.0,3.205078125,,
27,699,,,0.12449255585670471,3.198129892349243
28,709,0.03125,3.28631591796875,,
28,719,0.0625,3.17755126953125,,
28,724,,,0.11772666126489639,3.1985361576080322
29,729,0.0625,3.17181396484375,,
29,739,0.09375,3.3267822265625,,
29,749,0.1428571492433548,3.392299175262451,,
29,749,,,0.13125845789909363,3.2137906551361084
30,759,0.0625,3.23480224609375,,
30,769,0.125,3.0526123046875,,
30,774,,,0.11096075922250748,3.190049171447754
31,779,0.09375,3.18408203125,,
31,789,0.09375,3.187957763671875,,
31,799,0.0,3.066127300262451,,
31,799,,,0.11637347936630249,3.194049119949341
32,809,0.0625,3.23895263671875,,
32,819,0.0625,3.2010498046875,,
32,824,,,0.10825439542531967,3.1987404823303223
33,829,0.15625,3.17803955078125,,
33,839,0.0625,3.2481689453125,,
33,849,0.1428571492433548,3.2279574871063232,,
33,849,,,0.12990528345108032,3.2029056549072266
34,859,0.0625,3.35467529296875,,
34,869,0.0625,3.09295654296875,,
34,874,,,0.12584573030471802,3.1904311180114746
35,879,0.03125,3.14593505859375,,
35,889,0.09375,3.1204833984375,,
35,899,0.0,3.488560199737549,,
35,899,,,0.12719891965389252,3.2002904415130615
36,909,0.15625,3.2069091796875,,
36,919,0.125,3.2325439453125,,
36,924,,,0.1217861995100975,3.190487861633301
37,929,0.0,3.35968017578125,,
37,939,0.0625,3.26605224609375,,
37,949,0.1428571492433548,3.2400949001312256,,
37,949,,,0.12313937395811081,3.190145492553711
38,959,0.15625,3.084716796875,,
38,969,0.09375,3.16693115234375,,
38,974,,,0.13261163234710693,3.1912264823913574
39,979,0.09375,3.04833984375,,
39,989,0.0625,3.24993896484375,,
39,999,0.0,2.908900737762451,,
39,999,,,0.12584573030471802,3.1933634281158447
40,1009,0.0625,3.1259765625,,
40,1019,0.0625,3.36651611328125,,
40,1024,,,0.12855209410190582,3.1944355964660645
41,1029,0.03125,3.20306396484375,,
41,1039,0.0625,3.25994873046875,,
41,1049,0.0,3.452846050262451,,
41,1049,,,0.13125845789909363,3.1849403381347656
42,1059,0.0,3.2342529296875,,
42,1069,0.03125,3.306640625,,
42,1074,,,0.12990528345108032,3.1954874992370605
43,1079,0.09375,3.28302001953125,,
43,1089,0.03125,3.09130859375,,
43,1099,0.0,3.2645089626312256,,
43,1099,,,0.12990528345108032,3.186396598815918
44,1109,0.03125,3.24267578125,,
44,1119,0.03125,3.16888427734375,,
44,1124,,,0.12449255585670471,3.194230794906616
45,1129,0.0,3.34466552734375,,
45,1139,0.09375,3.26617431640625,,
45,1149,0.1428571492433548,3.0220425128936768,,
45,1149,,,0.12990528345108032,3.194978713989258
46,1159,0.09375,3.1898193359375,,
46,1169,0.03125,3.27606201171875,,
46,1174,,,0.13261163234710693,3.1980326175689697
47,1179,0.125,3.16802978515625,,
47,1189,0.09375,3.168121337890625,,
47,1199,0.2857142984867096,2.9893972873687744,,
47,1199,,,0.12990528345108032,3.183600425720215
48,1209,0.09375,3.2022705078125,,
48,1219,0.15625,3.10552978515625,,
48,1224,,,0.13667117059230804,3.1962361335754395
49,1229,0.0625,3.37042236328125,,
49,1239,0.0,3.4849853515625,,
49,1249,0.0,3.578125,,
49,1249,,,0.1217861995100975,3.1853208541870117
